year,country,area,ecoregion,realm,location,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC7,2010-07-05,9,1,Reef_fish,1,1,Steves Bommie,-16.29,139.42,Open,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes,9
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC2,2010-07-03,8,2,Reef_fish,2,4,Bowengun,-16.42,139.47,Open,GOC,Southern,Nearshore,Emergent,Fringing,No,Yes,8
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC7,2010-07-05,9,2,Reef_fish,1,2,Steves Bommie,-16.29,139.42,Open,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes,9
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC7,2010-07-05,10.2,1,Reef_fish,2,3,Steves Bommie,-16.29,139.42,Open,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes,10.2
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC7,2010-07-05,10.2,2,Reef_fish,2,4,Steves Bommie,-16.29,139.42,Open,GOC,Southern,Offshore,Submerged,Pinnacle,No,Yes,10.2
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,2010-07-05,5.5,1,Reef_fish,1,1,Manowar Island,-16.23,139.25,Open,GOC,Southern,Offshore,Emergent,Fringing,No,Yes,5.5
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,2010-07-05,5.5,2,Reef_fish,1,2,Manowar Island,-16.23,139.25,Open,GOC,Southern,Offshore,Emergent,Fringing,No,Yes,5.5
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,2010-07-05,6,1,Reef_fish,2,3,Manowar Island,-16.23,139.25,Open,GOC,Southern,Offshore,Emergent,Fringing,No,Yes,6
2010,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,2010-07-05,6,2,Reef_fish,2,4,Manowar Island,-16.23,139.25,Open,GOC,Southern,Offshore,Emergent,Fringing,No,Yes,6
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT100,2013-08-09,3,1,Reef_fish,2,1,Truant Island NE,-11.669,136.827,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,2.3,1,Reef_fish,1,1,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,2.3
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,2.3,2,Reef_fish,1,2,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,2.3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2013-08-09,3,1,Reef_fish,1,1,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2013-08-09,3,2,Reef_fish,1,2,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,4.3,1,Reef_fish,3,1,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,4.3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,4.3,2,Reef_fish,3,2,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,4.3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,6,1,Reef_fish,3,1,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,6,2,Reef_fish,3,2,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,4,1,Reef_fish,3,3,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,4
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,4,2,Reef_fish,3,4,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,4
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT100,2013-08-09,2.5,1,Reef_fish,1,2,Truant Island NE,-11.669,136.827,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,2.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT100,2013-08-09,2.5,2,Reef_fish,1,3,Truant Island NE,-11.669,136.827,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,2.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,3.5,1,Reef_fish,2,3,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,3.5,2,Reef_fish,2,4,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,4,1,Reef_fish,2,3,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,4
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,4,2,Reef_fish,2,4,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,4
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,2.5,1,Reef_fish,2,5,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,2.5
2013,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,2013-08-05,2.5,2,Reef_fish,2,6,Booby Island,-10.606,141.916,Open,GOC,Northeast,Offshore,Emergent,Fringing,No,No,2.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT100,2013-08-09,3,2,Reef_fish,2,4,Truant Island NE,-11.669,136.827,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,3,1,Reef_fish,1,5,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,2013-08-10,3,2,Reef_fish,1,6,Burston Bay,-11.222,136.685,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,3.5,1,Reef_fish,1,5,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2013,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,2013-08-10,3.5,2,Reef_fish,1,6,Norruum Islet,-11.23,136.69,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT30,2015-10-25,9.5,1,Reef_fish,2,1,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,9.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT30,2015-10-25,9.5,2,Reef_fish,2,2,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,9.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT30,2015-10-25,9,1,Reef_fish,1,3,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,9
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT30,2015-10-25,9,2,Reef_fish,1,4,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,9
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT31,2015-10-25,12.5,1,Reef_fish,1,1,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT31,2015-10-25,12.5,2,Reef_fish,1,2,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT31,2015-10-25,13,1,Reef_fish,2,3,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT31,2015-10-25,13,2,Reef_fish,2,4,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT32,2015-10-25,13,1,Reef_fish,2,1,Arnham Shoal,-11.45,133.717,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT32,2015-10-25,13,2,Reef_fish,2,2,Arnham Shoal,-11.45,133.717,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT32,2015-10-25,12.5,1,Reef_fish,1,3,Arnham Shoal,-11.45,133.717,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT32,2015-10-25,12.5,2,Reef_fish,1,4,Arnham Shoal,-11.45,133.717,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT33,2015-10-26,16,1,Reef_fish,2,1,Paxie Shoal North West,-11.433,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,16
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT33,2015-10-26,16,2,Reef_fish,2,2,Paxie Shoal North West,-11.433,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,16
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT33,2015-10-26,15,1,Reef_fish,1,3,Paxie Shoal North West,-11.433,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,15
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT33,2015-10-26,15,2,Reef_fish,1,4,Paxie Shoal North West,-11.433,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,15
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT34,2015-10-26,12,1,Reef_fish,1,1,Paxie Shoal West,-11.45,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT34,2015-10-26,12,2,Reef_fish,1,2,Paxie Shoal West,-11.45,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,12
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT34,2015-10-26,13,1,Reef_fish,2,3,Paxie Shoal West,-11.45,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT34,2015-10-26,13,2,Reef_fish,2,4,Paxie Shoal West,-11.45,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT35,2015-10-29,3.5,1,Reef_fish,2,1,Warrnga Reef,-11.94,135.6,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT35,2015-10-29,3.5,2,Reef_fish,2,2,Warrnga Reef,-11.94,135.6,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT35,2015-10-29,3,1,Reef_fish,1,3,Warrnga Reef,-11.94,135.6,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT35,2015-10-29,3,2,Reef_fish,1,4,Warrnga Reef,-11.94,135.6,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,3
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT36,2015-10-31,5,1,Reef_fish,1,1,Guluwuru Island NE,-11.55,136.42,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT36,2015-10-31,5,2,Reef_fish,1,2,Guluwuru Island NE,-11.55,136.42,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT36,2015-10-31,6,1,Reef_fish,2,3,Guluwuru Island NE,-11.55,136.42,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT36,2015-10-31,6,2,Reef_fish,2,4,Guluwuru Island NE,-11.55,136.42,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2015-11-01,6,1,Reef_fish,1,1,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,6
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2015-11-01,6,2,Reef_fish,1,2,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,6
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2015-11-01,7,1,Reef_fish,2,3,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,7
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,2015-11-01,7,2,Reef_fish,2,4,Truant Island SW,-11.674,136.823,Open,GOC,Wessel,Nearshore,Emergent,Fringing,No,No,7
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT38,2015-11-01,5,1,Reef_fish,2,1,Truant Island N,-11.66,136.83,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT38,2015-11-01,5,2,Reef_fish,2,2,Truant Island N,-11.66,136.83,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT38,2015-11-01,4,1,Reef_fish,1,3,Truant Island N,-11.66,136.83,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,4
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT38,2015-11-01,4,2,Reef_fish,1,4,Truant Island N,-11.66,136.83,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,4
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,2015-11-01,4.5,1,Reef_fish,1,1,Truant Island S,-11.68,136.82,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,4.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,2015-11-01,4.5,2,Reef_fish,1,2,Truant Island S,-11.68,136.82,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,4.5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,2015-11-01,5,1,Reef_fish,2,3,Truant Island S,-11.68,136.82,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,2015-11-01,5,2,Reef_fish,2,4,Truant Island S,-11.68,136.82,Open,GOC,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT40,2015-11-02,14,1,Reef_fish,2,1,Truant Bank SW,-11.65,136.91,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,Yes,14
2015,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT40,2015-11-02,14,2,Reef_fish,2,2,Truant Bank SW,-11.65,136.91,Open,GOC,Wessel,Offshore,Submerged,Shoal,No,Yes,14
