FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c7,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,2,2,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema savignyi,Diadema savignyi,0,50,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c8,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,2,2,Mollusca,Bivalvia,Veneroida,Tridacnidae,Tridacna squamosa,Tridacna squamosa,40,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63c9,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia varicosa,Phyllidia varicosa,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ca,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,1,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,3,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63cb,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,1,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria atra,Holothuria atra,0,3,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63cc,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,2,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus versicolor,Panulirus versicolor,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63cd,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,2,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,2,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ce,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,2,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria atra,Holothuria atra,0,3,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63cf,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,2,2,Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Pseudoceros spp.,Pseudoceros spp.,0,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d0,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,1,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,4,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d1,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,1,Mollusca,Bivalvia,Veneroida,Tridacnidae,Tridacna squamosa,Tridacna squamosa,0,1,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d2,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,1,Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Pseudoceros spp.,Pseudoceros spp.,0,1,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d3,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,2,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,6,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d4,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,2,2,Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Pseudoceros spp.,Pseudoceros spp.,0,2,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d5,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema savignyi,Diadema savignyi,0,4,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d6,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,1,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,2,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d7,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,2,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema savignyi,Diadema savignyi,0,1,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d8,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,2,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,5,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63d9,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,2,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,Trochidae spp.,Trochid spp.,0,2,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63da,912343827,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,4,RLS,8,11:00:00,,,2,2,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus planorbis,Conus planorbis,0,1,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63db,912343831,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,3.5,RLS,8,11:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,7,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63dc,912343831,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,3.5,RLS,8,11:00:00,,,2,1,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,6,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63dd,912343831,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,3.5,RLS,8,11:00:00,,,2,2,Arthropoda,Malacostraca,Decapoda,,Paguroidea spp.,Decapoda spp.,0,2,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63de,912343831,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,3.5,RLS,8,11:00:00,,,2,2,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,9,,POINT (136.69000244140625 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63df,912343831,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,3.5,RLS,8,11:00:00,,,2,2,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra mathaei,Echinometra mathaei,0,7,,POINT (136.69000244140625 -11.229999542236328)
