site_code,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site
GBR225,Vickys Reef,-14.69,145.44,Open,GBR,,,,,No,No
GBR223,Blue Lagoon Channel,-14.69,145.47,Open,GBR,,,,,No,No
GBR226,Loomis Reef,-14.68,145.47,Open,GBR,,,,,No,No
GBR233,Mermaid Cove dropoff,-14.65,145.46,Open,GBR,,,,,No,No
GBR227,Osprey Island,-14.67,145.44,Open,GBR,,,,,No,No
GBR222,Palfrey Island,-14.69,145.44,Open,GBR,,,,,No,No
GBR230,Turtle Beach,-14.65,145.45,Open,GBR,,,,,No,No
GBR232,Mermaid Cove north,-14.65,145.45,Open,GBR,,,,,No,No
GBR220,Blue Hole,-14.69,145.46,Open,GBR,,,,,No,No
GBR229,Watsons-Turtle Reef,-14.66,145.45,Open,GBR,,,,,No,No
GBR224,Horseshoe Reef,-14.69,145.44,Open,GBR,,,,,No,No
GBR234,Mermaid dropoff north,-14.65,145.45,Open,GBR,,,,,No,No
GBR231,Cobia Hole,-14.65,145.45,Open,GBR,,,,,No,No
GBR221,Bird Islets,-14.69,145.47,Open,GBR,,,,,No,No
GBR182,Brook Is NE,-18.14,146.28,Open,GBR,,,,,No,No
GBR189,Mooring Bommie,-17.77,146.45,Open,GBR,,,,,No,No
GBR183,Hudson Is,-18.05,146.2,Open,GBR,,,,,No,No
GBR187,Smith Is,-18.04,146.2,Open,GBR,,,,,No,No
GBR184,Smith Is SW,-18.04,146.2,Open,GBR,,,,,No,No
GBR186,Coombe Is,-18.04,146.18,Open,GBR,,,,,No,No
GBR185,Coombe Is East,-18.04,146.18,Open,GBR,,,,,No,No
GBR150,Horseshoe Bay,-19.98,148.26,Open,GBR,,,,,No,No
GBR146,Alcyonaria Point,-20.06,148.92,Open,GBR,,,,,No,No
GBR147,East Hayman Island,-20.05,148.9,Open,GBR,,,,,No,No
GBR143,Stonehaven Nth,-20.09,148.91,Open,GBR,,,,,No,No
GBR144,Langford island,-20.08,148.88,Open,GBR,,,,,No,No
GBR148,Blue Pearl Bay,-20.04,148.88,Open,GBR,,,,,No,No
GBR142,Cataren Bay,-20.16,149.04,Open,GBR,,,,,No,No
GBR162,Chicken Reef NW,-18.65,147.71,Open,GBR,,,,,No,No
GBR168,Bowl Reef S,-18.54,147.53,Open,GBR,,,,,No,No
GBR177,Inner Dip,-18.41,147.45,Open,GBR,,,,,No,No
GBR178,Dip Reef NE,-18.4,147.45,Open,GBR,,,,,No,No
GBR179,Myrmidon Reef,-18.27,147.38,Open,GBR,,,,,No,No
GBR180,Myrmidon Lagoon,-18.27,147.38,Open,GBR,,,,,No,No
GBR181,Myrmidon Wall,-18.26,147.38,Open,GBR,,,,,No,No
GBR163,Grub Reef SW,-18.65,147.4,Open,GBR,,,,,No,No
GBR156,Davies Reef,-18.83,147.63,Open,GBR,,,,,No,No
GBR159,Lynch's Reef,-18.73,147.72,Open,GBR,,,,,No,No
GBR161,Chicken Reef,-18.66,147.7,Open,GBR,,,,,No,No
GBR160,Chicken Reef East,-18.66,147.72,Open,GBR,,,,,No,No
GBR164,Grub Reef,-18.65,147.4,Open,GBR,,,,,No,No
CS1,Long Reef West,-19.3,152.24,Open,GBR,,,,,No,No
CS2,Brodie Cay NW,-19.28,152.21,Open,GBR,,,,,No,No
CS3,Brodie Cay SE,-19.28,152.22,Open,GBR,,,,,No,No
CS4,Paget Cay Bommie,-19.23,152.33,Open,GBR,,,,,No,No
CS6,Paget Cay South,-19.26,152.34,Open,GBR,,,,,No,No
CS7,Weather Station Inner Reef,-19.13,152.39,Open,GBR,,,,,No,No
CS10,NE Herald Cay SW,-16.95,149.18,Open,GBR,,,,,No,No
CS11,NE Herald Cay Central,-16.94,149.2,Open,GBR,,,,,No,No
CS12,NE Herald Bommie,-16.93,149.19,Open,GBR,,,,,No,No
CS13,NE Herald Back Reef,-16.93,149.2,Open,GBR,,,,,No,No
CS14,Chilcott South,-16.94,149.99,Open,GBR,,,,,No,No
CS15,Chilcott Bommie,-16.92,150.01,Open,GBR,,,,,No,No
