year,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2013,NT102,2013-08-10,4.3,2,Reef_fish,3,2,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,4.3
2013,NT103,2013-08-10,6,1,Reef_fish,3,1,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2013,NT103,2013-08-10,6,2,Reef_fish,3,2,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2013,TS1,2013-08-05,4,1,Reef_fish,3,3,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,4
2013,TS1,2013-08-05,4,2,Reef_fish,3,4,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,4
2013,NT100,2013-08-09,2.5,1,Reef_fish,1,2,Truant Island NE,-11.669,136.827,Open,Wessel,Nearshore,Emergent,Fringing,No,No,2.5
2013,NT100,2013-08-09,2.5,2,Reef_fish,1,3,Truant Island NE,-11.669,136.827,Open,Wessel,Nearshore,Emergent,Fringing,No,No,2.5
2013,NT102,2013-08-10,3.5,1,Reef_fish,2,3,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3.5
2013,NT102,2013-08-10,3.5,2,Reef_fish,2,4,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3.5
2013,NT103,2013-08-10,4,1,Reef_fish,2,3,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,4
2013,NT103,2013-08-10,4,2,Reef_fish,2,4,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,4
2013,TS1,2013-08-05,2.5,1,Reef_fish,2,5,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,2.5
2013,TS1,2013-08-05,2.5,2,Reef_fish,2,6,Booby Island,-10.606,141.916,Open,Northeast,Offshore,Emergent,Fringing,No,No,2.5
2013,NT100,2013-08-09,3,2,Reef_fish,2,4,Truant Island NE,-11.669,136.827,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,NT102,2013-08-10,3,1,Reef_fish,1,5,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,NT102,2013-08-10,3,2,Reef_fish,1,6,Burston Bay,-11.222,136.685,Open,Wessel,Nearshore,Emergent,Fringing,No,No,3
2013,NT103,2013-08-10,3.5,1,Reef_fish,1,5,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2013,NT103,2013-08-10,3.5,2,Reef_fish,1,6,Norruum Islet,-11.23,136.69,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,NT30,2015-10-25,9.5,1,Reef_fish,2,1,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,9.5
2015,NT30,2015-10-25,9.5,2,Reef_fish,2,2,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,9.5
2015,NT30,2015-10-25,9,1,Reef_fish,1,3,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,9
2015,NT30,2015-10-25,9,2,Reef_fish,1,4,Arnhem CMR Gadgets Reef North West,-11.283,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,9
2015,NT31,2015-10-25,12.5,1,Reef_fish,1,1,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,NT31,2015-10-25,12.5,2,Reef_fish,1,2,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,NT31,2015-10-25,13,1,Reef_fish,2,3,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT31,2015-10-25,13,2,Reef_fish,2,4,Arnhem CMR Gadgets Reef West,-11.3,133.8,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT32,2015-10-25,13,1,Reef_fish,2,1,Arnham Shoal,-11.45,133.717,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT32,2015-10-25,13,2,Reef_fish,2,2,Arnham Shoal,-11.45,133.717,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT32,2015-10-25,12.5,1,Reef_fish,1,3,Arnham Shoal,-11.45,133.717,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,NT32,2015-10-25,12.5,2,Reef_fish,1,4,Arnham Shoal,-11.45,133.717,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12.5
2015,NT33,2015-10-26,16,1,Reef_fish,2,1,Paxie Shoal North West,-11.433,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,16
2015,NT33,2015-10-26,16,2,Reef_fish,2,2,Paxie Shoal North West,-11.433,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,16
2015,NT33,2015-10-26,15,1,Reef_fish,1,3,Paxie Shoal North West,-11.433,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,15
2015,NT33,2015-10-26,15,2,Reef_fish,1,4,Paxie Shoal North West,-11.433,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,15
2015,NT34,2015-10-26,12,1,Reef_fish,1,1,Paxie Shoal West,-11.45,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12
2015,NT34,2015-10-26,12,2,Reef_fish,1,2,Paxie Shoal West,-11.45,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,12
2015,NT34,2015-10-26,13,1,Reef_fish,2,3,Paxie Shoal West,-11.45,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT34,2015-10-26,13,2,Reef_fish,2,4,Paxie Shoal West,-11.45,134.133,Open,Outer-shoals,Offshore,Submerged,Shoal,No,No,13
2015,NT35,2015-10-29,3.5,1,Reef_fish,2,1,Warrnga Reef,-11.94,135.6,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,NT35,2015-10-29,3.5,2,Reef_fish,2,2,Warrnga Reef,-11.94,135.6,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3.5
2015,NT35,2015-10-29,3,1,Reef_fish,1,3,Warrnga Reef,-11.94,135.6,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3
2015,NT35,2015-10-29,3,2,Reef_fish,1,4,Warrnga Reef,-11.94,135.6,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,3
2015,NT36,2015-10-31,5,1,Reef_fish,1,1,Guluwuru Island NE,-11.55,136.42,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,5
